Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,359.546204,361.468506,351.586884,355.957367,355.957367,16389166
2014-09-18,355.588409,355.505402,319.789459,328.539368,328.539368,26691849
2014-09-19,328.278503,330.936707,298.921021,307.761139,307.761139,29560103
2014-09-20,307.665253,329.978180,303.931244,318.758972,318.758972,28736826
2014-09-21,318.120514,321.504517,306.502197,310.632446,310.632446,20702625
2014-09-22,310.849762,316.469116,309.170898,312.958771,312.958771,18776342
2014-09-23,312.912079,343.704376,307.343872,339.189758,339.189758,35102351
2014-09-24,339.158630,339.307556,327.882263,331.250000,331.250000,23972840
2014-09-25,331.211639,331.444672,321.226959,322.676605,322.676605,21022658
2014-09-26,322.562897,325.339478,314.102081,318.896851,318.896851,16922252
2014-09-27,318.211639,320.630005,313.335449,315.029175,315.029175,11850891
2014-09-28,314.990540,316.209595,295.214508,297.578705,297.578705,18629822
2014-09-29,297.379089,303.267975,293.333313,295.899597,295.899597,25610923
2014-09-30,296.389008,309.562134,294.327698,306.417480,306.417480,27484400
2014-10-01,306.799957,310.224304,301.894867,303.949768,303.949768,20782347
2014-10-02,304.245300,304.692535,294.376831,296.054932,296.054932,17189755
2014-10-03,296.140961,299.354065,285.944061,287.264862,287.264862,24691330
2014-10-04,287.568512,291.240112,260.396301,262.777466,262.777466,37743907
2014-10-05,262.817413,273.113068,231.159409,256.162079,256.162079,66582558
2014-10-06,256.065369,274.569611,241.699951,261.076508,261.076508,62494503
2014-10-07,261.475922,268.816956,254.431564,265.508606,265.508606,38856342
2014-10-08,265.452545,278.107056,258.974182,277.032959,277.032959,42964129
2014-10-09,276.882263,301.691650,272.781281,287.716553,287.716553,65926621
2014-10-10,287.449371,295.281830,279.751923,286.363068,286.363068,34583954
2014-10-11,286.204651,290.821320,281.919037,286.946777,286.946777,10569618
2014-10-12,287.189911,300.041931,282.071930,299.508667,299.508667,13887808
2014-10-13,299.011780,311.916779,290.882355,306.929260,306.929260,27689780
2014-10-14,307.933960,323.814697,307.717224,317.118896,317.118896,30449727
2014-10-15,317.186127,318.091736,304.151154,307.935272,307.935272,19709126
2014-10-16,307.736359,310.766785,291.347137,298.801849,298.801849,21080997
2014-10-17,298.958069,302.169800,292.815125,300.821503,300.821503,10661362
2014-10-18,300.992401,309.757782,297.069061,306.844849,306.844849,8949440
2014-10-19,306.697510,308.802216,302.937225,305.622162,305.622162,4640334
2014-10-20,305.375000,305.900269,296.296417,299.214539,299.214539,12832356
2014-10-21,298.883148,308.417236,297.712646,304.023773,304.023773,11161816
2014-10-22,303.742920,305.484253,301.244385,303.107330,303.107330,9209161
2014-10-23,302.952301,304.650696,281.910004,283.355988,283.355988,20916199
2014-10-24,283.493561,287.270355,279.204193,282.829529,282.829529,12301263
2014-10-25,283.039459,284.026031,270.621155,274.089172,274.089172,14307419
2014-10-26,274.259674,283.520935,271.453033,279.845367,279.845367,8893491
2014-10-27,279.902954,282.076447,275.613770,277.900330,277.900330,10260589
2014-10-28,278.078247,283.273529,277.525177,280.770996,280.770996,6159912
2014-10-29,280.355652,280.983917,265.365967,265.688385,265.688385,14403214
2014-10-30,265.781830,278.215332,265.698181,273.877686,273.877686,23935517
2014-10-31,273.642914,276.116638,268.917603,270.138153,270.138153,10017087
2014-11-01,270.400818,271.901154,256.351807,260.099792,260.099792,13316193
2014-11-02,260.360107,262.735535,256.009277,260.692749,260.692749,6882345
2014-11-03,260.434357,267.608368,260.197449,262.231995,262.231995,10366264
2014-11-04,261.917389,265.074310,259.749908,263.319275,263.319275,12473508
2014-11-05,263.471436,275.091309,263.450470,272.089447,272.089447,15882985
